,accuracy,precision,recall,f1,roc_auc,average_precision
Logistic regression,0.7315121412803532,0.3107491480390458,0.7610694581977648,0.441309162496924,0.8196313622060201,0.39258517361846546
Histogram gradient boosting,0.8652041942604857,0.5575,0.1577309378978639,0.24589260116881684,0.8273973019802323,0.4244089280555894
